GitHub Repo,Engineered ML Project,Stars,Commits,Lines of Code,Architecture,Community,Continuous Integration,Documentation,History,Issues,License,Unit Testing,Last Commit Date,Branch Count,Contributor Count,domain,age_days,CI_Status
pymc-devs/pymc3,Y,9265,10310,59576,The source code of this project has been organised into different modules in a way that shows the relationship between different files,Multiple contributors: https://github.com/pymc-devs/pymc3/graphs/contributors,"The project uses various CI services to compute code coverage, check stylistic violations, etc.","There is a well maintained README, codes are well documented",Consistent commits in the last month,"More closed than open, author does not respond frequently",https://github.com/pymc-devs/pymc3/blob/master/LICENSE,There are many files related to testing,2025-09-23,26,444,Data Science / Traditional ML,6056,Yes
pyro-ppl/pyro,Y,8867,2513,89231,The source code of this project has been organised into different modules in a way that shows the relationship between different files,Multiple contributors: https://github.com/pyro-ppl/pyro/graphs/contributors,No indications of using CI services,"There is a well maintained README, codes are well documented",Consistent commits in the last month,"More closed than open, author responds frequently",https://github.com/pyro-ppl/pyro/blob/dev/LICENSE.md,There are many files related to testing,2025-07-09,226,151,ML Frameworks / Libraries,3092,Yes
pytorch/audio,Y,2742,2442,40441,The source code of this project has been organised into different modules in a way that shows the relationship between different files,Multiple contributors: https://github.com/pytorch/audio/graphs/contributors,"The project uses various CI services to compute code coverage, check stylistic violations, etc.","There is a well maintained README, codes are well documented",Consistent commits in the last month,"More closed than open, author does not respond frequently",https://github.com/pytorch/audio/blob/master/LICENSE,There are many files related to testing,2025-09-13,87,217,ML Frameworks / Libraries,3135,Yes
pytorch/botorch,Y,3353,2305,89598,The source code of this project has been organised into different modules in a way that shows the relationship between different files,Multiple contributors: https://github.com/pytorch/botorch/graphs/contributors,"The project uses various CI services to compute code coverage, check stylistic violations, etc.","There is a well maintained README, codes are well documented",Consistent commits in the last month,"More closed than open, author does not respond frequently",https://github.com/pytorch/botorch/blob/master/LICENSE,There are many files related to testing,2025-09-26,4,112,ML Frameworks / Libraries,2683,Yes
pytorch/builder,Y,354,2799,685,The source code of this project has been organised into different modules in a way that shows the relationship between different files,Multiple contributors: https://github.com/pytorch/builder/graphs/contributors,"The project uses various CI services to compute code coverage, check stylistic violations, etc.","There is a well maintained README, codes are well documented",Consistent commits in the last month,"More open than closed, author sometimes replies",https://github.com/pytorch/builder/blob/master/LICENSE,There are many files related to testing,2025-08-12,126,114,ML Frameworks / Libraries,3379,Yes
pytorch/captum,Y,5416,1367,42238,The source code of this project has been organised into different modules in a way that shows the relationship between different files,Multiple contributors: https://github.com/pytorch/captum/graphs/contributors,"The project uses various CI services to compute code coverage, check stylistic violations, etc.","There is a well maintained README, codes are well documented",Consistent commits in the last month,"More open than closed, author sometimes replies",https://github.com/pytorch/captum/blob/master/LICENSE,There are many files related to testing,2025-09-27,63,110,ML Frameworks / Libraries,2290,Yes
pytorch/examples,N,23429,835,7428,Its a collection of projects/examples,Multiple contributors: https://github.com/pytorch/examples/graphs/contributors,"The project uses various CI services to compute code coverage, check stylistic violations, etc.","There is a well maintained README, codes are well documented",Consistent commits in the last month,"More closed than open, author does not respond frequently",https://github.com/pytorch/examples/blob/master/LICENSE,There is no evidence of any testing done on the project.,2025-09-01,61,258,Reinforcement Learning,3388,Yes
pytorch/fairseq,Y,31839,2329,145783,The source code of this project has been organised into different modules in a way that shows the relationship between different files,Multiole contributors: https://github.com/pytorch/fairseq/graphs/contributors,"The project uses various CI services to compute code coverage, check stylistic violations, etc.","There is a well maintained README, codes are well documented",Consistent commits in the last month,"More closed than open, author does not respond frequently",https://github.com/pytorch/fairseq/blob/master/LICENSE,There are many files related to testing,2025-09-09,78,288,ML Frameworks / Libraries,3018,Yes
pytorch/ignite,Y,4700,1838,48124,The source code of this project has been organised into different modules in a way that shows the relationship between different files,Multiple contributors: https://github.com/pytorch/ignite/graphs/contributors,"The project uses various CI services to compute code coverage, check stylistic violations, etc.","There is a well maintained README, codes are well documented",Consistent commits in the last month,"More closed than open, author responds frequently",https://github.com/pytorch/ignite/blob/master/LICENSE,There are many files related to testing,2025-09-25,37,211,ML Frameworks / Libraries,2932,Yes
pytorch/serve,Y,4350,3891,31729,The source code of this project has been organised into different modules in a way that shows the relationship between different files,Multiple contributors: https://github.com/pytorch/serve/graphs/contributors,"The project uses various CI services to compute code coverage, check stylistic violations, etc.","There is a well maintained README, codes are well documented",Consistent commits in the last month,"More closed than open, author responds frequently",https://github.com/pytorch/serve/blob/master/LICENSE,There are many files related to testing,2025-03-17,525,179,MLOps / Deployment,2253,Yes
pytorch/text,Y,3560,1313,14307,The source code of this project has been organised into different modules in a way that shows the relationship between different files,Multiple contributors: https://github.com/pytorch/text/blob/master/LICENSE,"The project uses various CI services to compute code coverage, check stylistic violations, etc.","There is a well maintained README, codes are well documented",Consistent commits in the last month,"More closed than open, author does not respond frequently",https://github.com/pytorch/text/blob/master/LICENSE,There are many files related to testing,2025-09-10,94,143,Natural Language Processing,3279,Yes
pytorch/tutorials,N,8811,2771,14427,Its a collection of projects/tutorials,Multiple contributors: https://github.com/pytorch/tutorials/graphs/contributors,"The project uses various CI services to compute code coverage, check stylistic violations, etc.","There is a well maintained README, codes are well documented",Consistent commits in the last month,"More closed than open, author does not respond frequently",https://github.com/pytorch/tutorials/blob/master/LICENSE,There is no evidence of any testing done on the project.,2025-09-26,261,675,ML Frameworks / Libraries,3351,Yes
pytorch/vision,Y,17178,4118,76374,The source code of this project has been organised into different modules in a way that shows the relationship between different files,Multiple contributors: https://github.com/pytorch/vision/graphs/contributors,"The project uses various CI services to compute code coverage, check stylistic violations, etc.","There is a well maintained README, codes are well documented",Consistent commits in the last month,"More closed than open, author does not respond frequently",https://github.com/pytorch/vision/blob/master/LICENSE,There are many files related to testing,2025-09-27,177,620,Computer Vision,3311,Yes
PyTorchLightning/pytorch-lightning,Y,30179,10863,86858,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/PyTorchLightning/pytorch-lightning/graphs/contributors shows that there are multiple contributors,"The project seems to use Circle CI but drop it, not very sure what they use exactly",There is a well-maintained documentation,Evidence of sustained commit activity,"The project maintainers respond to issues, as evidenced by https://github.com/PyTorchLightning/pytorch-lightning/issues/2495 and https://github.com/PyTorchLightning/pytorch-lightning/issues/2456",https://github.com/PyTorchLightning/pytorch-lightning/blob/master/LICENSE is provided.,There are many files related to testing.,2025-09-26,55,967,ML Frameworks / Libraries,2440,Yes
QData/TextAttack,Y,3277,2772,25560,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/QData/TextAttack/graphs/contributors shows that there are multiple contributors,The project uses Travis CI,There is a well-maintained documentation,Evidence of sustained commit activity,"The project maintainers respond to issues, as evidenced by https://github.com/QData/TextAttack/issues/155 and https://github.com/QData/TextAttack/issues/126",https://github.com/QData/TextAttack/blob/master/LICENSE is provided.,There are many files related to testing.,2025-07-10,9,56,Natural Language Processing,2242,Yes
quantumblacklabs/kedro,Y,10549,4147,24084,The source code of this project has been organised into different modules in a way that shows the relationship between different files,Multiple contributors: https://github.com/quantumblacklabs/kedro/graphs/contributors,"The project uses various CI services to compute code coverage, check stylistic violations, etc.","There is a well maintained README, codes are well documented",Consistent commits in the last month,"More closed than open, author responds frequently",https://github.com/quantumblacklabs/kedro/blob/master/LICENSE.md,There are many files related to testing,2025-09-21,22,238,MLOps / Deployment,2421,Yes
quantumlib/Cirq,Y,4712,4475,169329,The source code of this project has been organised into different modules in a way that shows the relationship between different files,Multiple contributors: https://github.com/quantumlib/Cirq/graphs/contributors,No indications of using CI services,"There is a well maintained README, codes are well documented",Consistent commits in the last month,"More closed than open, author responds frequently",https://github.com/quantumlib/Cirq/blob/master/LICENSE,There is no evidence of any testing done on the project.,2025-09-27,54,243,ML Frameworks / Libraries,2911,Yes
ray-project/ray,Y,39131,27237,637199,The source code of this project has been organised into different modules in a way that shows the relationship between different files,Multiple contributors: https://github.com/ray-project/ray/graphs/contributors,"The project uses various CI services to compute code coverage, check stylistic violations, etc.","There is a well maintained README, codes are well documented",Consistent commits in the last month,"More closed than open, author does not respond frequently",https://github.com/ray-project/ray/blob/master/LICENSE,There are many files related to testing,2025-09-27,1031,890,Natural Language Processing,3326,Yes
ria-com/nomeroff-net,Y,486,1542,10722,The source code of this project has been organised into different modules in a way that shows the relationship between different files,Multiple contributors: https://github.com/ria-com/nomeroff-net/graphs/contributors,No indications of using CI services,"There is a well maintained README, codes are well documented",No commits the past month,"More closed than open, author does not respond frequently",https://github.com/ria-com/nomeroff-net/blob/master/LICENSE,There are many files related to testing,2025-09-26,23,9,Computer Vision,2550,Yes
robertness/causalML,N,782,367,2330,The source code of this project has been organised into different modules in a way that shows the relationship between different files with ad hoc scripts (Seems like a tutorial),Multiple contributors: https://github.com/robertness/causalML/graphs/contributors,No indications of using CI services,"There is a README, some codes are documented",No commits the past month,No open or closed issues,https://github.com/robertness/causalML/blob/master/LICENSE,There is no evidence of any testing done on the project.,2024-07-28,18,50,ML Frameworks / Libraries,2543,No
ROCmSoftwarePlatform/tensorflow-upstream,Y,696,188754,757020,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/ROCmSoftwarePlatform/tensorflow-upstream/graphs/contributors shows that there are multiple contributors,"No evidence of CI used, may missed out because there are alot of files",There is a well-maintained documentation,Evidence of sustained commit activity,"The project maintainers respond to issues, as evidenced by https://github.com/ROCmSoftwarePlatform/tensorflow-upstream/issues/1000 and https://github.com/ROCmSoftwarePlatform/tensorflow-upstream/issues/937",https://github.com/ROCmSoftwarePlatform/tensorflow-upstream/blob/develop-upstream/LICENSE is provided.,There are many files related to testing.,2025-09-26,1766,553,ML Frameworks / Libraries,2795,Yes
RussTedrake/underactuated,Y,870,1915,5955,The source code of this project has been organised into different modules in a way that shows the relationship between different files but quite messy,https://github.com/RussTedrake/underactuated/graphs/contributors shows that there are multiple contributors,Project uses Jenkins CI previously but seems to have removed it,There is a well-maintained documentation,Evidence of sustained commit activity but only recently,"The project maintainers respond to issues, as evidenced by https://github.com/RussTedrake/underactuated/issues/353 and https://github.com/RussTedrake/underactuated/issues/372",https://github.com/RussTedrake/underactuated/blob/master/LICENSE.TXT is provided.,There are files related to testing but not much,2025-08-28,16,34,Domain-Specific Applications,4112,Yes
rusty1s/pytorch_geometric,Y,22939,7889,124071,The source code of this project has been organised into different modules in a way that shows the relationship between different files,Multiple contributors: https://github.com/rusty1s/pytorch_geometric/graphs/contributors,"The project uses various CI services to compute code coverage, check stylistic violations, etc.","There is a well maintained README, codes are well documented",Consistent commits in the last month,"More closed than open, author responds frequently",https://github.com/rusty1s/pytorch_geometric/blob/master/LICENSE,There are many files related to testing,2025-09-23,165,514,ML Frameworks / Libraries,2980,Yes
rusty1s/pytorch_scatter,Y,1690,1049,1450,The source code of this project has been organised into different modules in a way that shows the relationship between different files,Multiple contributors: https://github.com/rusty1s/pytorch_scatter/graphs/contributors,"The project uses various CI services to compute code coverage, check stylistic violations, etc.","There is a well maintained README, codes are well documented",Some commits the past month,"More closed than open, author responds frequently",https://github.com/rusty1s/pytorch_scatter/blob/master/LICENSE,There are many files related to testing,2025-08-12,5,30,ML Frameworks / Libraries,2909,Yes
rwightman/pytorch-image-models,Y,35368,2940,83829,The source code of this project has been organised into different modules in a way that shows the relationship between different files with some ad hoc scripts,Multiple contributors: https://github.com/rwightman/pytorch-image-models/graphs/contributors,"The project uses various CI services to compute code coverage, check stylistic violations, etc.","There is a well maintained README, codes are well documented",Consistent commits in the last month,"More closed than open, author responds frequently",https://github.com/rwightman/pytorch-image-models/blob/master/LICENSE,There are many files related to testing,2025-09-24,163,157,Computer Vision,2496,Yes
rwth-i6/returnn,Y,370,12170,145490,The source code of the project consists of some ad-hoc scripts.,Multiple contributors: https://github.com/rwth-i6/returnn/graphs/contributors,"The project uses various CI services to compute code coverage, check stylistic violations, etc.","There is a well maintained README, codes are well documented",Consistent commits in the last month,"More closed than open, author responds sometimes",https://github.com/rwth-i6/returnn/blob/master/LICENSE,There are many files related to testing,2025-09-22,52,57,ML Frameworks / Libraries,3459,Yes
scikit-learn-contrib/imbalanced-learn,Y,7038,896,16049,The source code of this project has been organised into different modules in a way that shows the relationship between different files,Multiple contributors: https://github.com/scikit-learn-contrib/imbalanced-learn/graphs/contributors,"The project uses various CI services to compute code coverage, check stylistic violations, etc.","There is a well maintained README, codes are well documented",Some commits the past month,"More closed than open, author does not respond frequently",https://github.com/scikit-learn-contrib/imbalanced-learn/blob/master/LICENSE,There are many files related to testing,2025-08-14,15,82,Data Science / Traditional ML,4127,Yes
SeldonIO/alibi,Y,2558,677,20797,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/SeldonIO/alibi/graphs/contributors shows that there are multiple contributors,The project uses Travis and Circle CI,There is a well-maintained documentation,Little evidence of sustained commit activity,"The project maintainers respond to issues, as evidenced by https://github.com/SeldonIO/alibi/issues/256 and https://github.com/SeldonIO/alibi/issues/251 but not often as there's still a lot open issues",https://github.com/SeldonIO/alibi/blob/master/LICENSE is provided.,There are many files related to testing.,2025-09-23,37,22,Domain-Specific Applications,2472,Yes
SeldonIO/alibi-detect,Y,2429,746,24028,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/SeldonIO/alibi-detect/graphs/contributors shows that there are multiple contributors,The project uses Travis CI,There is a well-maintained documentation,Little evidence of sustained commit activity,Do reply to issues last time but not now,https://github.com/SeldonIO/alibi-detect/blob/master/LICENSE is provided.,There are many files related to testing.,2025-09-03,14,25,Domain-Specific Applications,2249,Yes
SeldonIO/seldon-core,Y,4638,1207,3289,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/SeldonIO/seldon-core/graphs/contributors shows that there are multiple contributors,The project uses Jenkins CI,There is a well-maintained documentation,Evidence of sustained commit activity but only recently,"The project maintainers respond to issues, as evidenced by https://github.com/SeldonIO/seldon-core/issues/2068 and https://github.com/SeldonIO/seldon-core/issues/2048",https://github.com/SeldonIO/seldon-core/blob/master/LICENSE is provided.,There are many files related to testing.,2025-09-26,482,38,MLOps / Deployment,2905,Yes
sigopt/sigopt-examples,Y,201,601,5255,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,"Multiple contributors, each with contribution that is not negligible https://github.com/sigopt/sigopt-examples/graphs/contributors",Travis used,Documentation for each module,Commits are quite spread out,2 still open << 6 closed,License provided,X Doesn't seem to have unit test,2024-04-29,11,24,Data Science / Traditional ML,3935,Yes
sisl/NeuralVerification.jl,Y,232,932,61,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,1-3 active contributers,Travis used,Most of the functions in the source code are not documented.,Commits are quite spread out,27 open < 36 closed,License provided,There are many files related to testing.,2025-05-01,15,13,Domain-Specific Applications,2673,Yes
skorch-dev/skorch,Y,6113,1123,20587,X The source code of the project exists as ad-hoc scripts.,"4-6 active contributers, 33 contributers in total",Travis used,Documentation not negligible,Commit activity not negligible,45 open << 266 closed,License provided,X Doesn't seem to have unit test,2025-08-15,46,62,ML Frameworks / Libraries,3061,Yes
slundberg/shap,Y,24462,2867,23375,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,"1 has significantly more commits than others, but 87 contributers",Travis used,Documentation provided,Commit activity not negligible,643 open >> 428 closed,License provided,A number of tests,2025-09-26,18,228,Data Science / Traditional ML,3298,Yes
snap-stanford/ogb,N,2036,679,21473,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,1-3 active contributers out of 7,X CI is not used on the project.,Documentation provided,"Recent, Commit activity not negligible",1 open <<< 32 closed,License provided,X Doesn't seem to have unit test,2025-05-06,3,25,Domain-Specific Applications,2203,No
snipsco/tract,Y,2601,8101,1472,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,"1 has significantly more commits than others, but 14 contributers",Travis used,Documentation provided,"Recent, Commit activity not negligible",13 open < 28 closed,License provided,X Doesn't seem to have unit test,2025-09-26,213,69,ML Frameworks / Libraries,3040,Yes
snorkel-team/snorkel,Y,5918,2693,7633,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,4 active contributors out of 52,Travis used,Documentation provided mostly in links,Commits are quite spread out,27 open << 880 closed,License provided,There are many files related to testing.,2024-02-27,11,69,Computer Vision,3568,Yes
SPFlow/SPFlow,Y,304,650,16505,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/SPFlow/SPFlow/graphs/contributors shows that there are multiple contributors,CI is not used on the project.,There is a well-maintained documentation,Little evidence of sustained commit activity,"The project maintainers respond to issues, as evidenced by https://github.com/SPFlow/SPFlow/issues/78 and https://github.com/SPFlow/SPFlow/issues/58 but not often",https://github.com/SPFlow/SPFlow/blob/master/LICENSE.md is provided.,There is no evidence of any testing done on the project.,2025-04-04,11,22,ML Frameworks / Libraries,2815,Yes
spmallick/learnopencv,N,22329,2608,120110,"Many folders, each have a few files inside",4 active contributors our of 17,X CI is not used on the project.,Documentation provided mostly in links,"Recent, Commit activity not negligible",146 open >> 43 closed,License provided,X Doesn't seem to have unit test,2025-09-23,5,81,Computer Vision,3942,No
sql-machine-learning/elasticdl,Y,743,1829,21950,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,14 active contributors out of 18,Travis used,Documentation provided,"Recent, Commit activity not negligible",101 open << 641 closed,License provided,Tests contained,2024-01-26,9,23,ML Frameworks / Libraries,2599,Yes
stanfordnlp/stanza,Y,7607,4785,51429,X The source code of the project exists as ad-hoc scripts.,6 active contributors out of 18,Travis used,Documentation provided mostly in links,Commit activity not negligible,36 open << 260 closed,License provided,Quite a number of tests,2024-12-24,31,52,Natural Language Processing,2990,Yes
stephenhky/PyShortTextCategorization,Y,472,1539,2590,"Many folders, each have a few files inside in https://github.com/stephenhky/PyShortTextCategorization/tree/master/shorttext","1 has significantly more commits than others, but 5 contributers",Travis used,Documentation mostly in links,Commit activity not negligible,6 open << 32 closed,License provided,A number of tests,2025-09-19,184,7,Natural Language Processing,3346,Yes
streamlit/streamlit,Y,41585,8344,113797,Organised but not in modules,"2 have significantly more commits than others, but 51 contributers",CircleCI used,Documentation provided,"Recent, Commit activity not negligible",387 open < 608 closed,License provided,A number of tests https://github.com/streamlit/streamlit/tree/develop/lib/tests,2025-09-26,428,280,Data Science / Traditional ML,2294,Yes
tensorflow/addons,Y,1707,1519,28322,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,"2 have significantly more commits than others, but 103 contributers",X CI is not used on the project.,Documentation provided,"Recent, Commit activity not negligible",113 open < 473 closed,License provided,Few tests https://github.com/tensorflow/addons/tree/master/tools/testing,2024-04-15,30,195,ML Frameworks / Libraries,2564,Yes
tensorflow/data-validation,Y,773,995,28157,Organised but not in modules,"2 have significantly more commits than others, but 4 contributers",X CI is not used on the project.,Documentation provided,"Recent, Commit activity not negligible",34 open < 62 closed,License provided,X 1 integration test https://github.com/tensorflow/data-validation/tree/master/tensorflow_data_validation/integration_tests,2025-06-23,33,26,ML Frameworks / Libraries,2711,Yes
tensorflow/examples,N,8185,2187,31727,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,"1 has significantly more commits than others, but 177 contributers",X CI is not used on the project.,Documentation provided,"Recent, Commit activity not negligible",46 open < 180 closed,License provided,X Doesn't seem to have unit test,2025-08-21,16,263,ML Frameworks / Libraries,2697,No
tensorflow/fairness-indicators,Y,353,397,1520,2 modules,"2 have significantly more commits than others, but 11 contributers",X CI is not used on the project.,Documentation provided,"Recent, Commit activity not negligible",all closed,License provided,X Doesn't seem to have unit test,2025-08-04,55,31,ML Frameworks / Libraries,2256,Yes
tensorflow/federated,Y,2397,5691,96954,X The source code of the project exists as ad-hoc scripts.,"4 have significantly more commits than others, but 53 contributers",X CI is not used on the project.,Documentation provided,"Recent, Commit activity not negligible",21 open < 142 closed,License provided,X Doesn't seem to have unit test,2025-09-28,230,110,ML Frameworks / Libraries,2548,Yes
tensorflow/graphics,Y,2781,770,33411,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,"1 has significantly more commits than others, but 20contributers",X CI is not used on the project.,Documentation provided,"Recent, Commit activity not negligible",40 open < 74 closed,License provided,A number of tests https://github.com/tensorflow/graphics/tree/master/tensorflow_graphics/util/tests,2025-02-03,26,35,ML Frameworks / Libraries,2521,Yes
tensorflow/io,Y,731,1700,26222,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,"1 has significantly more commits than others, but 20 contributers",X CI is not used on the project.,Documentation provided,"Recent, Commit activity not negligible",100 open < 213 closed,License provided,There are many files related to testing. https://github.com/tensorflow/io/tree/master/tests,2025-04-10,8,104,ML Frameworks / Libraries,2581,Yes
tensorflow/model-analysis,Y,1267,1570,49874,Organised but not in modules,"2 has significantly more commits than others, but 28 contributers",X CI is not used on the project.,Documentation provided,"Recent, Commit activity not negligible",14 open < 20 closed,License provided,A number of tests https://github.com/tensorflow/graphics/tree/master/tensorflow_graphics/util/tests,2025-08-06,36,55,ML Frameworks / Libraries,2812,Yes
tensorflow/models,N,77643,9655,379080,Organised but not in modules,"100 contributers, most significant",X CI is not used on the project.,X Most of the functions in the source code are not documented.,"Recent, Commit activity not negligible",820 open << 4647 closed,License provided,Few tests https://github.com/tensorflow/models/tree/master/official/utils/testing/scripts,2025-09-27,116,790,ML Frameworks / Libraries,3590,Yes
tensorflow/privacy,Y,1985,899,30114,The source code of this project has been organised into different modules in a way that shows the relationship between different files. https://github.com/tensorflow/privacy/tree/master/tensorflow_privacy/privacy,"6 has significantly more commits than others, but 26contributers",X CI is not used on the project.,X Most of the functions in the source code are not documented.,"Recent, Commit activity not negligible",22 open < 66 closed,License provided,X Doesn't seem to have unit test,2025-06-13,25,56,ML Frameworks / Libraries,2539,No
tensorflow/quantum,Y,2017,934,15821,Organised but not in modules,"2 have significantly more commits than others, but 16 contributers",X CI is not used on the project.,X Most of the functions in the source code are not documented.,"Recent, Commit activity not negligible",36 open < 61 closed,License provided,A number of tests https://github.com/tensorflow/quantum/tree/master/benchmarks/scripts,2025-09-14,23,35,ML Frameworks / Libraries,2127,Yes
tensorflow/serving,Y,6325,9171,2292,Organised but not in modules,"1 has significantly more commits than others, but 100 contributers",X CI is not used on the project.,X Most of the functions in the source code are not documented.,Commit activity not negligible,67 open << 1086 closed,License provided,X 2 tests https://github.com/tensorflow/serving/tree/master/tensorflow_serving/test_util,2025-09-26,78,210,ML Frameworks / Libraries,3599,Yes
tensorflow/text,N,1273,922,18446,"Organised but not in modules, not many files too","1 has significantly more commits than others, but 23 contributers",X CI is not used on the project.,X Most of the functions in the source code are not documented.,"Recent, Commit activity not negligible",20 open < 50 closed,License provided,X few test,2025-08-18,245,111,ML Frameworks / Libraries,2380,No
tensorflow/tfjs,Y,18968,6112,12161,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,"100 contributers, most significant",X CI is not used on the project.,Documentation mostly in links,"Recent, Commit activity not negligible",376 open << 1828 closed,License provided,Have,2025-06-06,490,340,ML Frameworks / Libraries,2830,Yes
tf-encrypted/tf-encrypted,Y,1235,605,22814,Organised but not in modules,"1 has significantly more commits than others, but 24 contributers",CircleCI used,Documentation provided,Commit activity not negligible,155 open < 222 closed,License provided,Quite a number of tests,2024-09-25,59,25,ML Frameworks / Libraries,2814,Yes
TheAlgorithms/Python,Y,209443,3597,46108,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/TheAlgorithms/Python/graphs/contributors shows that there are multiple contributors,The project uses Travis CI,Most of the functions in the source code are not documented.,Evidence of sustained commit activity,"The project maintainers respond to issues, as evidenced by https://github.com/TheAlgorithms/Python/issues/1919 and https://github.com/TheAlgorithms/Python/issues/2153, a lot of spam issues in this project by random users",https://github.com/TheAlgorithms/Python/blob/master/LICENSE.md is provided.,There is no evidence of any testing done on the project.,2025-09-24,10,1217,Domain-Specific Applications,3427,Yes
thu-ml/tianshou,Y,8802,1175,35503,Organised but not in modules,"1 has significantly more commits than others, but 19 contributers",X CI is not used on the project.,Documentation provided,"Recent, Commit activity not negligible",16 open < 47 closed,License provided,A number of tests,2025-09-06,13,77,Reinforcement Learning,2788,Yes
thunlp/OpenNRE,N,4429,177,3137,Organised but not in modules,"1 has significantly more commits than others, but 5 contributers",X CI is not used on the project.,X not much,Commit activity not negligible,all closed,License provided,X 1 test https://github.com/thunlp/OpenNRE/tree/master/tests,2024-01-10,6,8,Natural Language Processing,3202,No
Tiiiger/QPyTorch,Y,285,246,3868,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/Tiiiger/QPyTorch/graphs/contributors shows that there are multiple contributors but mainly 1,CI is not used on the project.,There is a well-maintained documentation,No evidence of sustained commit activity,"The project author respond to issues, as evidenced by https://github.com/Tiiiger/QPyTorch/issues/31 and https://github.com/Tiiiger/QPyTorch/issues/21",https://github.com/Tiiiger/QPyTorch/blob/master/LICENSE is provided.,There are many files related to testing,2024-05-20,2,9,ML Frameworks / Libraries,2684,No
timesler/facenet-pytorch,Y,4993,252,1467,Organised but not in modules,"1 has significantly more commits than others, but 7 contributers",Travis used,Documentation mostly in links,Commit activity not negligible,9 open < 56 closed,License provided,X 3 tests,2024-08-02,5,17,ML Frameworks / Libraries,2385,Yes
tslearn-team/tslearn,Y,3037,1685,10150,X The source code of the project exists as ad-hoc scripts.,"2 has significantly more commits than others, but 23 contributers",X CI is not used on the project.,X not much,Quite alot of commits past month,21 open << 154 closed,License provided,Quite a number of tests,2025-09-26,11,39,Domain-Specific Applications,3135,Yes
uber/causalml,Y,5589,653,11144,Organised but not in modules,"2 has significantly more commits than others, but 14contributers",Travis used,Documentation provided,Commits are quite spread out,20 open < 80 closed,License provided,A number,2025-09-26,127,68,Data Science / Traditional ML,2340,Yes
uber/ludwig,Y,11590,3861,95376,Organised but not in modules,"1 has significantly more commits than others, but 71 contributers",Travis used,Documentation provided,"Recent, Commit activity not negligible",82 open << 337 closed,License provided,A number,2024-10-17,243,148,Natural Language Processing,2533,Yes
UKPLab/sentence-transformers,Y,17603,2375,39022,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/UKPLab/sentence-transformers/graphs/contributors shows that there are multiple contributors,CI is not used on the project.,There is a well-maintained documentation,Evidence of sustained commit activity but not very stable,"The project maintainers respond to issues, as evidenced by https://github.com/UKPLab/sentence-transformers/issues/282 and https://github.com/UKPLab/sentence-transformers/issues/239 but a lot issues left open",https://github.com/TheAlgorithms/Python/blob/master/LICENSE.md is provided.,There are many files related to testing,2025-09-26,16,226,Natural Language Processing,2324,Yes
ultralytics/yolov3,Y,10457,2899,11096,Organised but not in modules,"1 has significantly more commits than others, but 33 contributers",X CI is not used on the project.,X not much,"Recent, Commit activity not negligible",104 open << 1164 closed,License provided,X 1,2025-08-26,3,48,Computer Vision,2656,Yes
ultralytics/yolov5,Y,55509,2916,11454,Organised but not in modules,"1 has significantly more commits than others, but 11 contributers",X CI is not used on the project.,Tutorials provided,"Recent, Commit activity not negligible",139 open > 105 closed,License provided,X 1,2025-09-21,12,335,Computer Vision,2025,Yes
Unity-Technologies/ml-agents,Y,18685,3541,27918,The source code of this project has been organised into different modules in a way that shows the relationship between different files but quite messy,https://github.com/Unity-Technologies/ml-agents/graphs/contributors shows that there are multiple contributors,The project uses Circle CI,There is a well-maintained documentation,Evidence of sustained commit activity,"The project maintainers respond to issues, as evidenced by https://github.com/Unity-Technologies/ml-agents/issues/4141 and https://github.com/Unity-Technologies/ml-agents/issues/4112",https://github.com/Unity-Technologies/ml-agents/blob/master/LICENSE is provided.,There are files related to testing,2025-09-17,447,146,Reinforcement Learning,3008,Yes
vaexio/vaex,Y,8432,3712,63938,Organised but not in modules,"1 has significantly more commits than others, but 23 contributers",Travis used,Documentation provided,Commit activity not negligible,154 open < 291 closed,License provided,There are many files related to testing. https://github.com/tensorflow/io/tree/master/tests,2025-09-03,271,65,Data Science / Traditional ML,4085,Yes
